"head","relation","tail"
"mondo.0011972","symptom","hpo.0011106"
"mondo.0018770","associated","uniprot.O43822"
"drugbank.DB01268","target","uniprot.Q13873"
"drugbank.DB00490","SE","meddra.10013916"
"mondo.0011719","associated","uniprot.O75386"
"mondo.0015011","symptom","hpo.0000752"
"mondo.0013773","symptom","hpo.0002301"
"mondo.0012864","symptom","hpo.0002104"
"mondo.0014180","symptom","hpo.0008404"
"mondo.0015461","associated","uniprot.Q8WW35"
"mondo.0009254","associated","uniprot.P04066"
"drugbank.DB00804","SE","meddra.10028521"
"mondo.0004948","associated","uniprot.Q96LC9"
"drugbank.DB04845","SE","meddra.10015068"
"drugbank.DB01167","target","uniprot.P06241"
"mondo.0009068","associated","uniprot.P00403"
"mondo.0019091","symptom","hpo.0001708"
"drugbank.DB00230","SE","meddra.10017711"
"mondo.0018998","associated","uniprot.O15078"
"mondo.0007105","associated","uniprot.Q9UQN3"
"mondo.0019828","symptom","hpo.0000823"
"drugbank.DB00755","target","uniprot.Q03181"
"mondo.0015776","symptom","hpo.0008064"
"mondo.0017979","associated","uniprot.P21580"
"drugbank.DB01166","SE","meddra.10022763"
"drugbank.DB00399","SE","meddra.10021028"
"mondo.0009165","symptom","hpo.0002352"
"mondo.0011113","symptom","hpo.0007209"
"drugbank.DB09053","target","uniprot.P06239"
"mondo.0009292","symptom","hpo.0003073"
"mondo.0011816","symptom","hpo.0002475"
"mondo.0013214","symptom","hpo.0002570"
"drugbank.DB00285","SE","meddra.10020400"
"mondo.0014586","symptom","hpo.0000602"
"mondo.0018874","associated","uniprot.P07099"
"mondo.0012020","associated","uniprot.O43435"
"mondo.0001187","associated","uniprot.P25445"
"mondo.0010533","associated","uniprot.P60891"
"drugbank.DB00230","SE","meddra.10014893"
"drugbank.DB00472","target","uniprot.P35367"
"drugbank.DB01268","target","uniprot.P80192"
"drugbank.DB00998","SE","meddra.10062872"
"drugbank.DB00491","SE","meddra.10071824"
"mondo.0014690","symptom","hpo.0010450"
"mondo.0008383","associated","uniprot.Q9NX09"
"mondo.0018820","symptom","hpo.0004756"
"mondo.0018800","associated","uniprot.P29371"
"mondo.0013323","symptom","hpo.0000973"
"mondo.0019004","associated","uniprot.P51587"
"mondo.0013869","symptom","hpo.0001942"
"mondo.0019165","associated","uniprot.P01229"
"drugbank.DB00471","target","uniprot.P41143"
"mondo.0018868","associated","uniprot.P15289"
"drugbank.DB01175","SE","meddra.10039073"
"mondo.0007574","associated","uniprot.Q9GZR5"
"mondo.0008678","symptom","hpo.0001645"
"mondo.0018092","symptom","hpo.0000541"
"mondo.0011929","symptom","hpo.0001636"
"drugbank.DB00876","target","uniprot.P30556"
"mondo.0014525","symptom","hpo.0001638"
"mondo.0011422","associated","uniprot.Q9Y6R1"
"mondo.0060556","associated","uniprot.Q9H116"
"mondo.0016642","associated","uniprot.P04080"
"drugbank.DB00497","SE","meddra.10021328"
"mondo.0009992","associated","uniprot.Q14693"
"drugbank.DB00465","SE","meddra.10019418"
"mondo.0016241","associated","uniprot.P50993"
"mondo.0009552","associated","uniprot.Q6PD74"
"drugbank.DB00537","SE","meddra.10052303"
"mondo.0005683","symptom","hpo.0000099"
"drugbank.DB00321","target","uniprot.Q99720"
"mondo.0008840","symptom","hpo.0002665"
"mondo.0008492","symptom","hpo.0001482"
"mondo.0008145","symptom","hpo.0000826"
"drugbank.DB01242","SE","meddra.10014778"
"mondo.0013540","symptom","hpo.0002878"
"mondo.0008876","symptom","hpo.0001909"
"drugbank.DB00633","SE","meddra.10038695"
"mondo.0014684","symptom","hpo.0001952"
"drugbank.DB00540","target","uniprot.P18089"
"mondo.0008721","symptom","hpo.0001942"
"drugbank.DB00370","SE","meddra.10023332"
"mondo.0009757","symptom","hpo.0002524"
"drugbank.DB06616","target","uniprot.P51955"
"mondo.0010847","associated","uniprot.Q6IQ55"
"mondo.0011874","symptom","hpo.0001396"
"mondo.0009458","symptom","hpo.0000093"
"drugbank.DB00268","SE","meddra.10033799"
"mondo.0011934","associated","uniprot.P01127"
"mondo.0013557","symptom","hpo.0100608"
"drugbank.DB00285","SE","meddra.10039729"
"mondo.0013778","associated","uniprot.Q9H4A3"
"mondo.0012197","symptom","hpo.0001896"
"drugbank.DB01186","SE","meddra.10034484"
"drugbank.DB00404","target","uniprot.P47870"
"mondo.0012897","symptom","hpo.0000132"
"mondo.0007113","symptom","hpo.0000563"
"drugbank.DB00230","SE","meddra.10030302"
"drugbank.DB01011","target","uniprot.P19099"
"mondo.0018874","associated","uniprot.Q9HB96"
"mondo.0012143","symptom","hpo.0002153"
"mondo.0007042","associated","uniprot.P21802"
"drugbank.DB00598","target","uniprot.P25100"
"drugbank.DB00523","SE","meddra.10040943"
"mondo.0014459","associated","uniprot.P46531"
"drugbank.DB05294","target","uniprot.Q6DT37"
"drugbank.DB00966","target","uniprot.P37231"
"drugbank.DB01043","SE","meddra.10034010"
"drugbank.DB00688","SE","meddra.10014080"
"mondo.0008725","associated","uniprot.P49675"
"drugbank.DB00982","target","uniprot.P18089"
"drugbank.DB00590","SE","meddra.10008635"
"mondo.0012721","associated","uniprot.Q96MP8"
"mondo.0014030","symptom","hpo.0100750"
"mondo.0007522","symptom","hpo.0010750"
"drugbank.DB00230","SE","meddra.10002241"
"mondo.0014647","symptom","hpo.0002133"
"drugbank.DB01275","target","uniprot.Q13936"
"drugbank.DB00408","target","uniprot.P28335"
"drugbank.DB01273","SE","meddra.10013661"
"mondo.0033043","symptom","hpo.0012534"
"mondo.0009711","symptom","hpo.0001374"
"mondo.0019321","symptom","hpo.0000823"
"drugbank.DB01060","target","uniprot.P41595"
"mondo.0011638","symptom","hpo.0000643"
"drugbank.DB04868","SE","meddra.10020712"
"drugbank.DB00252","SE","meddra.10039729"
"mondo.0001187","associated","uniprot.Q96JB6"
"drugbank.DB06148","target","uniprot.P41595"
"mondo.0013990","symptom","hpo.0001387"
"drugbank.DB00904","SE","meddra.10030071"
"mondo.0011462","symptom","hpo.0001433"
"mondo.0008675","symptom","hpo.0000298"
"mondo.0019078","symptom","hpo.0000126"
"mondo.0004948","associated","uniprot.P01106"
"drugbank.DB01037","SE","meddra.10027514"
"mondo.0018177","associated","uniprot.O14503"
"mondo.0011838","associated","uniprot.P12271"
"mondo.0007918","symptom","hpo.0003552"
"mondo.0013188","associated","uniprot.P35219"
"mondo.0018969","associated","uniprot.Q96T25"
"drugbank.DB06589","target","uniprot.P33981"
"mondo.0009337","symptom","hpo.0100539"
"drugbank.DB00683","SE","meddra.10023891"
"mondo.0016264","associated","uniprot.P13500"
"drugbank.DB00273","target","uniprot.P00915"
"mondo.0010774","associated","uniprot.P00846"
"mondo.0019015","associated","uniprot.P36544"
"mondo.0018309","associated","uniprot.P17677"
"mondo.0006639","associated","uniprot.P09486"
"mondo.0019810","associated","uniprot.P06400"
"mondo.0012858","associated","uniprot.P13987"
"drugbank.DB00402","SE","meddra.10058483"
"drugbank.DB00811","SE","meddra.10020582"
"drugbank.DB01628","target","uniprot.P23219"
"drugbank.DB08819","SE","meddra.10046851"
"mondo.0008854","associated","uniprot.Q9H0F7"
"drugbank.DB06825","SE","meddra.10035079"
"mondo.0011107","associated","uniprot.P22223"
"mondo.0012359","symptom","hpo.0006515"
"mondo.0006292","associated","uniprot.P01374"
"mondo.0007032","associated","uniprot.P20309"
"mondo.0011789","associated","uniprot.P35240"
"mondo.0010788","associated","uniprot.P00846"
"drugbank.DB00390","target","uniprot.Q12809"
"mondo.0017694","associated","uniprot.P10253"
"drugbank.DB00398","target","uniprot.Q02763"
"drugbank.DB00720","target","uniprot.P12235"
"mondo.0012104","symptom","hpo.0001397"
"drugbank.DB00906","SE","meddra.10001906"
"drugbank.DB00393","target","uniprot.P21554"
"mondo.0013681","symptom","hpo.0001269"
"mondo.0007621","symptom","hpo.0001047"
"mondo.0007363","symptom","hpo.0001387"
"mondo.0007057","symptom","hpo.0200042"
"drugbank.DB06288","target","uniprot.P34969"
"drugbank.DB00679","target","uniprot.P18825"
"drugbank.DB00715","SE","meddra.10002948"
"mondo.0014464","symptom","hpo.0001298"
"mondo.0007269","associated","uniprot.Q9Y4U1"
"mondo.0013773","symptom","hpo.0002170"
"mondo.0009693","associated","uniprot.O15550"
"mondo.0009953","symptom","hpo.0000491"
"mondo.0015545","associated","uniprot.Q9NPP4"
"mondo.0020728","associated","uniprot.Q9NRM0"
"mondo.0009910","symptom","hpo.0001397"
"mondo.0008919","symptom","hpo.0001298"
"mondo.0007295","associated","uniprot.P18507"
"drugbank.DB00313","SE","meddra.10006002"
"mondo.0014098","symptom","hpo.0000147"
"drugbank.DB00398","SE","meddra.10020802"
"mondo.0012721","symptom","hpo.0000726"
"drugbank.DB00906","SE","meddra.10023348"
"drugbank.DB01217","SE","meddra.10046904"
"drugbank.DB00472","SE","meddra.10010071"
"mondo.0014857","symptom","hpo.0100716"
"drugbank.DB00909","SE","meddra.10020622"
"mondo.0013966","symptom","hpo.0004756"
"mondo.0008487","associated","uniprot.Q96HA7"
"mondo.0013905","associated","uniprot.Q13255"
"mondo.0009614","symptom","hpo.0002098"
"mondo.0008318","symptom","hpo.0000873"
"drugbank.DB00215","SE","meddra.10041235"
"drugbank.DB00656","SE","meddra.10020112"
"drugbank.DB06201","target","uniprot.Q99250"
"drugbank.DB00399","SE","meddra.10039705"
"drugbank.DB00268","SE","meddra.10020558"
"mondo.0017267","symptom","hpo.0008064"
"mondo.0014331","associated","uniprot.Q02108"
"mondo.0014491","associated","uniprot.O95999"
"mondo.0007147","symptom","hpo.0025267"
"drugbank.DB00317","target","uniprot.Q9UEE5"
"mondo.0014011","associated","uniprot.Q8N8W4"
"mondo.0015280","associated","uniprot.O14807"
"drugbank.DB00530","target","uniprot.P36888"
"mondo.0008487","associated","uniprot.Q9HAJ7"
"mondo.0011476","associated","uniprot.Q03519"
"mondo.0008172","associated","uniprot.Q92959"
"mondo.0008300","associated","uniprot.O95714"
"mondo.0013367","associated","uniprot.Q5BKT4"
"mondo.0007576","associated","uniprot.Q9NZC7"
"drugbank.DB00918","SE","meddra.10039729"
"mondo.0019569","symptom","hpo.0000726"
"mondo.0009783","symptom","hpo.0001618"
"mondo.0013501","symptom","hpo.0002273"
"mondo.0008935","symptom","hpo.0000789"
"drugbank.DB00996","SE","meddra.10034484"
"mondo.0013343","associated","uniprot.P02746"
"mondo.0013247","symptom","hpo.0003076"
"drugbank.DB00740","target","uniprot.Q8TCU5"
"mondo.0011342","symptom","hpo.0001298"
"mondo.0011868","associated","uniprot.P21860"
"drugbank.DB01083","target","uniprot.P16233"
"drugbank.DB01179","target","uniprot.P07437"
"drugbank.DB01186","SE","meddra.10028524"
"mondo.0007959","associated","uniprot.Q9Y4H2"
"mondo.0009282","symptom","hpo.0002098"
"mondo.0015452","symptom","hpo.0001007"
"mondo.0010385","symptom","hpo.0002583"
"mondo.0011190","associated","uniprot.Q2M1K9"
"mondo.0009693","symptom","hpo.0000112"
"drugbank.DB00530","target","uniprot.P00533"
"mondo.0014830","symptom","hpo.0000132"
"mondo.0008031","associated","uniprot.Q9UBC3"
"drugbank.DB00471","target","uniprot.P0DMS8"
"drugbank.DB00472","target","uniprot.Q99720"
"mondo.0800027","associated","uniprot.P07333"
"mondo.0007099","symptom","hpo.0001396"
"mondo.0004976","associated","uniprot.P12036"
"drugbank.DB00582","SE","meddra.10047302"
"mondo.0009109","symptom","hpo.0001987"
"drugbank.DB00715","SE","meddra.10044684"
"drugbank.DB00969","SE","meddra.10036142"
"mondo.0009614","symptom","hpo.0001259"
"drugbank.DB00669","SE","meddra.10002942"
"drugbank.DB00811","SE","meddra.10038907"
"mondo.0019321","symptom","hpo.0001397"
"mondo.0019960","symptom","hpo.0002893"
"mondo.0010281","symptom","hpo.0006543"
"mondo.0011422","symptom","hpo.0001942"
"drugbank.DB00402","SE","meddra.10043570"
"mondo.0010489","associated","uniprot.Q9UJV3"
"drugbank.DB01238","target","uniprot.P20309"
"drugbank.DB06148","target","uniprot.P30939"
"mondo.0009532","associated","uniprot.Q8NB91"
"mondo.0011218","symptom","hpo.0000498"
"mondo.0100213","symptom","hpo.0000966"
"drugbank.DB00555","SE","meddra.10028836"
"mondo.0016575","symptom","hpo.0030828"
"mondo.0006037","associated","uniprot.Q2M1P5"
"mondo.0013819","symptom","hpo.0001007"
"mondo.0019107","symptom","hpo.0001972"
"drugbank.DB00543","target","uniprot.P14867"
"drugbank.DB01088","target","uniprot.P43116"
"mondo.0013433","symptom","hpo.0100279"
"mondo.0018304","symptom","hpo.0002653"
"drugbank.DB00338","SE","meddra.10019660"
"drugbank.DB00287","SE","meddra.10005148"
"drugbank.DB08916","target","uniprot.P04626"
"mondo.0007039","associated","uniprot.P35240"
"drugbank.DB00630","SE","meddra.10023232"
"mondo.0013171","associated","uniprot.P00491"
"drugbank.DB00458","SE","meddra.10026749"
"drugbank.DB00692","target","uniprot.P10635"
"mondo.0009785","symptom","hpo.0002148"
"mondo.0014693","symptom","hpo.0002202"
"drugbank.DB00734","SE","meddra.10042966"
"mondo.0008161","associated","uniprot.P11487"
"drugbank.DB01156","SE","meddra.10020558"
"mondo.0007039","symptom","hpo.0002858"
"mondo.0009889","symptom","hpo.0001562"
"mondo.0013501","associated","uniprot.P55072"
"mondo.0012582","symptom","hpo.0002789"
"drugbank.DB01224","SE","meddra.10039626"
"drugbank.DB01223","SE","meddra.10040752"
"mondo.0020333","symptom","hpo.0001433"
"mondo.0018874","associated","uniprot.Q13951"
"mondo.0100224","associated","uniprot.Q9BU61"
"mondo.0019557","symptom","hpo.0002725"
"drugbank.DB00998","SE","meddra.10020559"
"mondo.0009271","symptom","hpo.0000704"
"drugbank.DB04574","SE","meddra.10008748"
"drugbank.DB01254","target","uniprot.Q16832"
"mondo.0015011","associated","uniprot.Q96TA2"
"mondo.0010200","symptom","hpo.0030214"
"drugbank.DB00280","target","uniprot.P20309"
"mondo.0017264","symptom","hpo.0000966"
"mondo.0010848","associated","uniprot.Q6IQ55"
"mondo.0011584","associated","uniprot.P51587"
"mondo.0014433","symptom","hpo.0000546"
"drugbank.DB00252","SE","meddra.10027199"
"drugbank.DB01254","target","uniprot.O14976"
"mondo.0007852","symptom","hpo.0000962"
"drugbank.DB00692","target","uniprot.P28335"
"drugbank.DB01242","SE","meddra.10020558"
"drugbank.DB00997","SE","meddra.10006002"
"drugbank.DB00398","SE","meddra.10062975"
"mondo.0013472","associated","uniprot.P02511"
"mondo.0001881","symptom","hpo.0100658"
"drugbank.DB00669","SE","meddra.10027175"
"mondo.0014364","symptom","hpo.0000544"
"drugbank.DB00811","SE","meddra.10033703"
"drugbank.DB00230","SE","meddra.10013941"
"mondo.0007111","symptom","hpo.0002170"
"mondo.0009411","symptom","hpo.0200120"
"mondo.0013127","associated","uniprot.Q8WVS4"
"drugbank.DB00555","SE","meddra.10025381"
"mondo.0009561","symptom","hpo.0002516"
"mondo.0015583","symptom","hpo.0003128"
"mondo.0014458","symptom","hpo.0003076"
"drugbank.DB01167","SE","meddra.10047115"
"drugbank.DB00215","SE","meddra.10005159"
"mondo.0016333","associated","uniprot.Q14896"
"mondo.0010631","symptom","hpo.0200042"
"mondo.0007916","symptom","hpo.0002917"
"mondo.0010382","symptom","hpo.0002063"
"drugbank.DB01268","target","uniprot.Q02750"
"mondo.0008542","associated","uniprot.P78504"
"drugbank.DB00997","target","uniprot.P29466"
"mondo.0009253","symptom","hpo.0007957"
"drugbank.DB00404","SE","meddra.10022992"
"drugbank.DB00740","SE","meddra.10050492"
"mondo.0019350","symptom","hpo.0011900"
"mondo.0010061","associated","uniprot.Q13608"
"mondo.0007243","associated","uniprot.P11498"
"drugbank.DB00404","SE","meddra.10009696"
"mondo.0000914","associated","uniprot.Q92743"
"drugbank.DB00740","SE","meddra.10001927"
"drugbank.DB00877","SE","meddra.10025233"
"drugbank.DB06203","target","uniprot.P27487"
"drugbank.DB01242","target","uniprot.P25021"
"mondo.0011928","symptom","hpo.0002475"
"drugbank.DB00962","SE","meddra.10015461"
"mondo.0014939","symptom","hpo.0010307"
"drugbank.DB00724","SE","meddra.10020622"
"drugbank.DB01242","SE","meddra.10008417"
"drugbank.DB00268","SE","meddra.10013864"
"mondo.0013584","symptom","hpo.0031258"
"mondo.0010645","symptom","hpo.0001386"
"drugbank.DB01268","target","uniprot.Q13882"
"drugbank.DB00230","SE","meddra.10033546"
"mondo.0013301","symptom","hpo.0008222"
"mondo.0009579","symptom","hpo.0001087"
"mondo.0011181","symptom","hpo.0000646"
"mondo.0014858","symptom","hpo.0000752"
"mondo.0100224","associated","uniprot.Q9NX14"
"mondo.0008682","symptom","hpo.0000112"
"mondo.0018092","associated","uniprot.P01563"
"drugbank.DB00928","SE","meddra.10039100"
"drugbank.DB00285","SE","meddra.10037596"
"mondo.0009372","associated","uniprot.Q16719"
"mondo.0008297","symptom","hpo.0003470"
"drugbank.DB05294","target","uniprot.Q06187"
"drugbank.DB00398","target","uniprot.Q00537"
"mondo.0014912","symptom","hpo.0002633"
"drugbank.DB00503","target","uniprot.P37288"
"mondo.0016296","associated","uniprot.O14974"
"drugbank.DB00285","SE","meddra.10025280"
"mondo.0005388","associated","uniprot.Q86UW1"
"drugbank.DB01217","SE","meddra.10003285"
"drugbank.DB04868","SE","meddra.10029446"
"mondo.0009723","symptom","hpo.0002072"
"mondo.0018177","associated","uniprot.P21926"
"mondo.0012695","symptom","hpo.0002323"
"drugbank.DB00472","SE","meddra.10046798"
"drugbank.DB00882","SE","meddra.10028228"
"drugbank.DB00962","SE","meddra.10047302"
"mondo.0012700","symptom","hpo.0001433"
"mondo.0009532","associated","uniprot.Q14526"
"drugbank.DB04953","target","uniprot.Q9NR82"
"mondo.0009426","symptom","hpo.0005214"
"mondo.0011975","associated","uniprot.P80370"
"drugbank.DB00983","target","uniprot.P35462"
"mondo.0008599","associated","uniprot.P01100"
"mondo.0013580","symptom","hpo.0001987"
"drugbank.DB01041","SE","meddra.10000496"
"mondo.0008729","symptom","hpo.0002170"
"drugbank.DB00398","target","uniprot.O14578"
"mondo.0014194","symptom","hpo.0001987"
"drugbank.DB01175","SE","meddra.10038848"
"mondo.0019264","symptom","hpo.0000717"
"drugbank.DB01260","target","uniprot.P04150"
"mondo.0019810","associated","uniprot.Q13619"
"drugbank.DB01100","SE","meddra.10047290"
"mondo.0010465","associated","uniprot.O15550"
"drugbank.DB08916","target","uniprot.Q9HBH9"
"drugbank.DB00808","target","uniprot.P23280"
"mondo.0010820","symptom","hpo.0000726"
"mondo.0013721","associated","uniprot.P0C0L4"
"drugbank.DB00715","SE","meddra.10018627"
"mondo.0010150","associated","uniprot.P35568"
"drugbank.DB00564","SE","meddra.10031250"
"drugbank.DB00490","SE","meddra.10020910"
"mondo.0016333","associated","uniprot.O95817"
"drugbank.DB00692","target","uniprot.P18089"
"mondo.0019374","symptom","hpo.0000100"
"mondo.0007930","symptom","hpo.0001878"
"mondo.0009925","symptom","hpo.0000573"
"mondo.0007739","symptom","hpo.0002375"
"mondo.0011582","associated","uniprot.Q9UMS0"
"mondo.0014224","associated","uniprot.O95714"
"drugbank.DB00285","SE","meddra.10020559"
"mondo.0008487","associated","uniprot.O76093"
"drugbank.DB00996","SE","meddra.10006002"
"mondo.0019200","associated","uniprot.Q8NFJ9"
"mondo.0008009","associated","uniprot.O43790"
"drugbank.DB01242","SE","meddra.10007515"
"mondo.0008383","associated","uniprot.P43250"
"drugbank.DB00982","SE","meddra.10043255"
"drugbank.DB00555","SE","meddra.10002948"
"mondo.0013547","symptom","hpo.0003128"
"mondo.0010483","symptom","hpo.0000752"
"drugbank.DB00740","SE","meddra.10021133"
"mondo.0013291","symptom","hpo.0010872"
"mondo.0010370","symptom","hpo.0001007"
"drugbank.DB00813","target","uniprot.P35372"
"mondo.0007803","associated","uniprot.Q96H96"
"mondo.0011169","symptom","hpo.0008064"
"drugbank.DB00864","SE","meddra.10024378"
"mondo.0020108","symptom","hpo.0001878"
"mondo.0019200","associated","uniprot.P22748"
"drugbank.DB05294","target","uniprot.P35590"
"drugbank.DB00904","target","uniprot.O15245"
"drugbank.DB00358","SE","meddra.10027175"
"drugbank.DB00755","SE","meddra.10006002"
"mondo.0010683","associated","uniprot.A2IDD5"
"mondo.0009904","symptom","hpo.0002917"
"mondo.0013570","symptom","hpo.0001942"
"drugbank.DB00590","SE","meddra.10029148"
"drugbank.DB01406","target","uniprot.P10275"
"drugbank.DB01149","target","uniprot.P28223"
"mondo.0007080","symptom","hpo.0001959"
"mondo.0007949","symptom","hpo.0000646"
"mondo.0008151","symptom","hpo.0002754"
"mondo.0015339","symptom","hpo.0002607"
"mondo.0008641","symptom","hpo.0000093"
"drugbank.DB01175","SE","meddra.10020558"
"mondo.0004976","associated","uniprot.P50995"
"mondo.0007947","symptom","hpo.0002097"
"drugbank.DB05294","SE","meddra.10037032"
"drugbank.DB01175","SE","meddra.10021649"
"mondo.0016296","associated","uniprot.Q4KMG0"
"mondo.0007571","symptom","hpo.0040264"
"mondo.0015263","associated","uniprot.Q99959"
"drugbank.DB00734","SE","meddra.10000269"
"mondo.0019810","associated","uniprot.P09874"
"mondo.0014793","symptom","hpo.0008064"
"mondo.0016466","symptom","hpo.0031352"
"drugbank.DB00751","target","uniprot.Q86VL8"
"drugbank.DB01156","SE","meddra.10012218"
"drugbank.DB00633","SE","meddra.10002972"
"drugbank.DB00995","SE","meddra.10027170"
"mondo.0014098","symptom","hpo.0009125"
"drugbank.DB06148","target","uniprot.Q9NY46"
"mondo.0014339","symptom","hpo.0002354"
"mondo.0009665","symptom","hpo.0002789"
"drugbank.DB00704","target","uniprot.P36544"
"mondo.0014476","symptom","hpo.0001350"
"mondo.0008383","associated","uniprot.P22301"
"mondo.0012073","symptom","hpo.0002352"
"mondo.0018874","associated","uniprot.Q03164"
"drugbank.DB06148","target","uniprot.P08912"
"drugbank.DB01112","SE","meddra.10009887"
"mondo.0008487","associated","uniprot.Q4KMZ1"
"mondo.0001881","symptom","hpo.0002586"
"mondo.0018053","associated","uniprot.P19447"
"mondo.0014239","associated","uniprot.P43694"
"mondo.0010998","symptom","hpo.0009125"
"mondo.0014230","symptom","hpo.0000498"
"mondo.0007522","symptom","hpo.0001622"
"drugbank.DB09065","SE","meddra.10037032"
"mondo.0014851","associated","uniprot.Q06495"
"drugbank.DB00982","SE","meddra.10020112"
"mondo.0011400","symptom","hpo.0001678"
"mondo.0011512","associated","uniprot.Q9NQC7"
"mondo.0015780","symptom","hpo.0010450"
"mondo.0009294","symptom","hpo.0001395"
"mondo.0013400","symptom","hpo.0001622"
"mondo.0005103","associated","uniprot.P52926"
"mondo.0008487","associated","uniprot.Q9H254"
"mondo.0019609","associated","uniprot.Q9Y5Y5"
"mondo.0013153","symptom","hpo.0025084"
"mondo.0017160","associated","uniprot.P28799"
"mondo.0012345","associated","uniprot.P01040"
"mondo.0008948","symptom","hpo.0012075"
"mondo.0016296","symptom","hpo.0000093"
"drugbank.DB00531","SE","meddra.10039100"
"mondo.0009479","associated","uniprot.Q8IWV7"
"mondo.0015452","associated","uniprot.Q8IWS0"
"mondo.0014869","associated","uniprot.Q15031"
"drugbank.DB00398","target","uniprot.P06239"
"mondo.0007608","associated","uniprot.P25054"
"mondo.0009725","symptom","hpo.0001883"
"mondo.0019570","associated","uniprot.Q03468"
"drugbank.DB00679","target","uniprot.P35367"
"mondo.0012925","symptom","hpo.0001972"
"mondo.0014561","symptom","hpo.0001638"
"mondo.0014444","associated","uniprot.Q86SQ7"
"drugbank.DB00398","target","uniprot.P29320"
"mondo.0007488","associated","uniprot.Q16143"
"mondo.0007037","associated","uniprot.P22607"
"mondo.0024522","symptom","hpo.0000973"
"mondo.0013449","symptom","hpo.0000563"
"drugbank.DB00268","SE","meddra.10036978"
"mondo.0011380","symptom","hpo.0001433"
"mondo.0016581","associated","uniprot.Q92908"
"mondo.0009061","associated","uniprot.Q16623"
"mondo.0014375","symptom","hpo.0011848"
"drugbank.DB01189","target","uniprot.O14649"
"drugbank.DB00472","SE","meddra.10007515"
"mondo.0008753","symptom","hpo.0100550"
"mondo.0008954","associated","uniprot.P50542"
"mondo.0010306","symptom","hpo.0004326"
"mondo.0001187","associated","uniprot.P02786"
"mondo.0009009","symptom","hpo.0000230"
"drugbank.DB01041","SE","meddra.10062872"
"mondo.0011380","symptom","hpo.0000746"
"mondo.0013282","symptom","hpo.0001402"
"mondo.0010526","symptom","hpo.0000823"
"drugbank.DB00697","SE","meddra.10023332"
"mondo.0007922","symptom","hpo.0000656"
"mondo.0007309","associated","uniprot.Q9HBA0"
"drugbank.DB05812","SE","meddra.10020870"
"mondo.0024535","symptom","hpo.0002202"
"mondo.0008153","symptom","hpo.0001482"
"drugbank.DB08916","target","uniprot.Q15303"
"mondo.0013439","symptom","hpo.0001433"
"mondo.0014821","symptom","hpo.0001541"
"mondo.0007110","associated","uniprot.P01588"
"mondo.0013730","symptom","hpo.0040186"
"drugbank.DB00679","SE","meddra.10030071"
"mondo.0024528","associated","uniprot.Q7LG56"
"drugbank.DB01006","SE","meddra.10043570"
"drugbank.DB00503","target","uniprot.O15245"
"mondo.0010402","symptom","hpo.0100716"
"mondo.0017990","associated","uniprot.Q13061"
"mondo.0019338","symptom","hpo.0002107"
"mondo.0010200","associated","uniprot.P02649"
"mondo.0014981","symptom","hpo.0001888"
"drugbank.DB08865","target","uniprot.P29320"
"drugbank.DB00661","target","uniprot.O95180"
"drugbank.DB00530","target","uniprot.P54756"
"drugbank.DB01186","SE","meddra.10020400"
"mondo.0014356","symptom","hpo.0000752"
"mondo.0009268","symptom","hpo.0002206"
"mondo.0008224","associated","uniprot.Q9Y6H6"
"mondo.0012855","associated","uniprot.Q3SXY8"
"mondo.0019609","symptom","hpo.0002024"
"mondo.0017147","symptom","hpo.0001785"
"mondo.0011686","symptom","hpo.0000141"
"mondo.0007243","associated","uniprot.Q02548"
"drugbank.DB00230","SE","meddra.10048964"
"drugbank.DB00962","SE","meddra.10025280"
"drugbank.DB00230","SE","meddra.10003662"
"mondo.0008120","associated","uniprot.Q8NB59"
"drugbank.DB00953","SE","meddra.10027175"
"mondo.0013452","associated","uniprot.P62736"
"drugbank.DB04868","target","uniprot.Q7L7X3"
"mondo.0007959","associated","uniprot.P40238"
"mondo.0013951","associated","uniprot.P40855"
"drugbank.DB04868","target","uniprot.Q08345"
"drugbank.DB08865","target","uniprot.P07333"
"mondo.0007243","associated","uniprot.P51532"
"mondo.0012173","symptom","hpo.0000488"
"mondo.0010156","symptom","hpo.0001350"
"mondo.0012883","associated","uniprot.Q05516"
"mondo.0024570","symptom","hpo.0003072"
"drugbank.DB00481","target","uniprot.P18825"
"mondo.0019006","symptom","hpo.0000093"
"mondo.0007191","symptom","hpo.0000618"
"mondo.0010221","symptom","hpo.0008760"
"mondo.0009352","symptom","hpo.0000541"
"drugbank.DB00995","target","uniprot.P06241"
"mondo.0016862","symptom","hpo.0001636"
"drugbank.DB00216","SE","meddra.10043688"
"mondo.0013767","symptom","hpo.0002665"
"mondo.0008736","associated","uniprot.O43933"
"mondo.0013361","associated","uniprot.P00734"
"mondo.0010848","associated","uniprot.Q69YN2"
"mondo.0012552","symptom","hpo.0003072"
"drugbank.DB00216","SE","meddra.10018491"
"mondo.0014063","symptom","hpo.0002311"
"mondo.0008297","associated","uniprot.Q30201"
"mondo.0014834","symptom","hpo.0002072"
"mondo.0012184","symptom","hpo.0003075"
"mondo.0008457","associated","uniprot.P08473"
"mondo.0008380","symptom","hpo.0001909"
"drugbank.DB06218","SE","meddra.10021649"
"drugbank.DB00216","SE","meddra.10021113"
"mondo.0011150","symptom","hpo.0100578"
"drugbank.DB01273","SE","meddra.10024378"
"mondo.0019100","associated","uniprot.P02686"
"drugbank.DB06287","SE","meddra.10043570"
